Date,Observé,Prédit
2018-10-21,4.979151,14.781917
2018-10-22,10.596616,12.6170845
2018-10-23,10.860812,15.229302
2018-10-24,8.236864,12.948994
2018-10-25,4.7937627,14.417985
2018-10-26,5.764687,15.162057
2018-10-27,6.1103516,16.312506
2018-10-28,16.29095,17.769125
2018-10-29,26.180984,18.6878
2018-10-30,8.873238,19.181654
2018-10-31,12.634032,16.801853
2018-11-01,7.510233,16.16862
2018-11-02,8.428049,10.058535
2018-11-03,3.49927,6.5471735
2018-11-04,5.36227,6.0245466
2018-11-05,6.718327,10.046271
2018-11-06,13.797216,12.222801
2018-11-07,14.477482,13.479454
2018-11-08,3.0987632,11.055918
2018-11-09,3.5568666,7.8091307
2018-11-10,4.202735,6.031623
2018-11-11,3.813493,5.3315787
2018-11-12,2.8544352,4.9588184
2018-11-13,6.6225753,4.788026
2018-11-14,4.279501,5.3545027
2018-11-15,6.100608,5.37466
2018-11-16,3.204835,5.3724294
2018-11-17,6.6458664,5.3769217
2018-11-18,4.438607,8.294126
2018-11-19,13.945587,9.901676
2018-11-20,5.7033587,10.331289
2018-11-21,5.1029983,6.7767005
2018-11-22,1.5270104,5.2699847
2018-11-23,1.3842323,4.9215865
2018-11-24,2.5346448,4.5970306
2018-11-25,0.61059976,4.0998425
2018-11-26,2.1008685,3.958734
2018-11-27,2.8691185,3.9622605
2018-11-28,5.9655623,4.06082
2018-11-29,1.8689239,3.9704654
2018-11-30,2.3901045,3.8990674
2018-12-01,1.4288495,3.908142
2018-12-02,2.4299295,3.9436011
2018-12-03,0.9580764,3.9435952
2018-12-04,0.54301494,4.2581725
2018-12-05,2.9950128,3.9228723
2018-12-06,6.352171,3.8612278
2018-12-07,1.6298325,3.8184896
2018-12-08,0.34245202,3.8833132
2018-12-09,0.5139544,3.8833132
2018-12-10,0.55208915,4.1925297
2018-12-11,0.8249871,3.8884466
2018-12-12,2.9789102,4.1930666
2018-12-13,5.0018115,3.897085
2018-12-14,4.8680515,3.887304
2018-12-15,0.67279536,3.7212605
2018-12-16,0.3300531,3.0054102
2018-12-17,0.10311568,2.943102
2018-12-18,0.41449437,3.3429391
2018-12-19,1.0185779,3.277174
2018-12-20,0.5394663,3.4791462
2018-12-21,0.6716259,3.4408603
2018-12-22,0.17480417,3.3194
2018-12-23,0.26493394,3.1440272
2018-12-24,0.4077586,2.798771
2018-12-25,0.3009064,2.8478947
2018-12-26,0.88745,2.8547509
2018-12-27,0.24248317,2.8041916
2018-12-28,0.49768233,2.9870062
2018-12-29,0.26221237,2.9737244
2018-12-30,0.6871107,3.372921
2018-12-31,3.0313096,3.3999662
2019-01-01,0.48093626,3.729815
2019-01-02,0.3068273,3.4490352
2019-01-03,0.40200835,3.4384134
2019-01-04,0.93043226,3.4401739
2019-01-05,1.6129919,3.2909431
2019-01-06,0.8911708,3.2288508
2019-01-07,3.1746008,3.2201104
2019-01-08,1.2804189,3.4335918
2019-01-09,0.40845242,3.2711275
2019-01-10,0.47502327,2.7808533
2019-01-11,1.4490298,3.4314742
2019-01-12,1.2565036,3.8587396
2019-01-13,1.9326919,4.178915
2019-01-14,0.6270869,3.9909384
2019-01-15,0.41620743,4.1919208
2019-01-16,0.7524181,4.2331724
2019-01-17,2.3545086,4.227998
2019-01-18,2.8688946,4.2265415
2019-01-19,1.6121609,4.052513
2019-01-20,3.507867,4.525938
2019-01-21,1.3410562,4.266395
2019-01-22,0.7099556,4.2762165
2019-01-23,0.73851126,4.21843
2019-01-24,3.66066,4.247142
2019-01-25,1.4553145,4.4312773
2019-01-26,0.833882,4.339219
2019-01-27,0.8879106,4.1075454
2019-01-28,1.6946646,4.4388504
2019-01-29,5.892748,4.602728
2019-01-30,7.2207904,4.572068
2019-01-31,1.8225706,4.67352
2019-02-01,2.442725,6.3833823
2019-02-02,5.762869,5.057938
2019-02-03,1.4229252,8.13239
2019-02-04,5.3225956,5.3055134
2019-02-05,2.8910763,5.51964
2019-02-06,0.83193356,4.571241
2019-02-07,1.9926478,3.9847646
2019-02-08,0.38152125,3.9425786
2019-02-09,0.55806416,3.94124
2019-02-10,1.5629041,4.0561886
2019-02-11,1.7271787,3.587386
2019-02-12,0.17455295,3.3156493
2019-02-13,0.18997365,3.2475915
2019-02-14,0.280044,3.468384
2019-02-15,0.7983779,4.081234
2019-02-16,0.1480359,3.98166
2019-02-17,0.45453954,3.72155
2019-02-18,3.8809395,3.9466176
2019-02-19,8.554217,4.1952214
2019-02-20,7.620519,5.3858566
2019-02-21,1.0519522,5.110768
2019-02-22,0.9030754,5.098706
2019-02-23,2.422668,6.4746795
2019-02-24,4.338601,6.4665675
2019-02-25,6.4266915,6.510734
2019-02-26,7.11759,6.4491606
2019-02-27,4.7260857,6.4542227
2019-02-28,5.163668,5.1880136
2019-03-01,7.489543,4.9907365
2019-03-02,1.122479,4.891192
2019-03-03,0.6931872,4.733385
2019-03-04,1.0232788,4.7879057
2019-03-05,0.34663606,5.190317
2019-03-06,5.7092314,5.1816974
2019-03-07,4.0574646,5.185755
2019-03-08,5.045336,6.380383
2019-03-09,8.899219,7.1350822
2019-03-10,4.6962824,7.7954764
2019-03-11,1.0438209,7.7738037
2019-03-12,0.5512984,4.4978046
2019-03-13,2.3068142,4.4075813
2019-03-14,2.467757,5.185627
2019-03-15,4.606187,6.435584
2019-03-16,7.0161395,6.4481993
2019-03-17,7.284658,8.567552
2019-03-18,1.9231572,7.1757464
2019-03-19,5.3298554,5.07067
2019-03-20,7.88925,8.524481
2019-03-21,13.192373,11.173076
2019-03-22,21.287855,11.533953
2019-03-23,3.5613012,11.304491
2019-03-24,6.3537116,8.208721
2019-03-25,5.726067,5.26805
2019-03-26,4.070385,9.655781
2019-03-27,5.127049,7.523055
2019-03-28,3.9839835,11.100201
2019-03-29,5.66977,8.388806
2019-03-30,9.166564,10.28674
2019-03-31,8.991508,12.327951
2019-04-01,5.8349795,11.0975065
2019-04-02,12.899493,9.542179
2019-04-03,11.874336,10.802061
2019-04-04,7.3238716,10.528371
2019-04-05,9.596801,10.262211
2019-04-06,2.771686,12.324789
2019-04-07,16.42749,11.105034
2019-04-08,11.668724,12.699513
2019-04-09,2.3911839,12.457944
2019-04-10,5.1803365,8.965661
2019-04-11,18.62179,8.950026
2019-04-12,10.183627,12.457999
2019-04-13,12.221552,11.134305
2019-04-14,11.568089,11.065667
2019-04-15,3.38962,7.778943
2019-04-16,8.184323,6.7838473
2019-04-17,6.8541384,11.081819
2019-04-18,7.6996512,12.439874
2019-04-19,8.2252245,11.190794
2019-04-20,3.7107592,9.746949
2019-04-21,5.911681,12.456661
2019-04-22,5.2320457,12.702538
2019-04-23,22.305391,12.458125
2019-04-24,10.807087,14.848633
2019-04-25,5.9136434,16.420523
2019-04-26,9.994134,15.0213585
2019-04-27,7.670331,12.794846
2019-04-28,4.021597,12.794647
2019-04-29,9.3660755,12.544615
2019-04-30,10.573251,13.047683
2019-05-01,11.963878,16.599928
2019-05-02,12.252979,17.855658
2019-05-03,22.589987,15.525441
2019-05-04,23.01342,17.814955
2019-05-05,4.742327,18.622755
2019-05-06,3.5861888,15.579973
2019-05-07,14.4157915,15.271253
2019-05-08,10.928387,16.219662
2019-05-09,17.088343,17.307707
2019-05-10,18.416033,15.869055
2019-05-11,17.322134,18.626339
2019-05-12,11.893317,18.306181
2019-05-13,19.24875,17.999504
2019-05-14,15.317305,16.154354
2019-05-15,29.52338,17.306795
2019-05-16,25.311562,21.090042
2019-05-17,8.971518,18.993666
2019-05-18,13.735156,17.530584
2019-05-19,14.772771,18.41062
2019-05-20,24.719816,21.02347
2019-05-21,21.869757,28.009048
2019-05-22,7.252957,20.069906
2019-05-23,13.7907,20.31169
2019-05-24,37.253544,18.471441
2019-05-25,30.179863,24.325085
2019-05-26,20.697847,23.022028
2019-05-27,19.872852,23.149967
2019-05-28,19.483591,21.301254
